Journal Title;"Online
ISSN";Subject Area;License types offered;Full Article Publication Charge;;
Water and Environment Journal;17476593;Water Resource Management;CC BY, CC BY-NC or CC BY-NC-ND;$4.000;£2.650;€ 3.300
Water Environment Research;15547531;Water Resources;CC BY, CC BY-NC or CC BY-NC-ND;$3.240;£2.450;€ 2.730
Weather;14778696;Atmospheric Sciences;CC BY, CC BY-NC or CC BY-NC-ND;$1.880;£1.250;€ 1.590
Weed Biology and Management;14456664;Pests, Diseases & Weeds;CC BY, CC BY-NC or CC BY-NC-ND;$3.040;£2.060;€ 2.520
Weed Research;13653180;Pests, Diseases & Weeds;CC BY, CC BY-NC or CC BY-NC-ND;$3.840;£2.540;€ 3.190
Wildlife Monographs;19385455;Conservation Science;CC BY, CC BY-NC or CC BY-NC-ND;$5.750;£4.360;€ 5.220
WIREs Climate Change;17577799;Atmospheric Sciences;CC BY, CC BY-NC or CC BY-NC-ND;$5.450;£3.630;€ 4.600
WIREs Cognitive Science;19395086;Cognitive Science;CC BY, CC BY-NC or CC BY-NC-ND;$4.150;£2.720;€ 3.470
WIREs Computational Molecular Science;17590884;Computational Chemistry & Molecular Modeling;CC BY, CC BY-NC or CC BY-NC-ND;$5.230;£3.470;€ 4.380
WIREs Computational Statistics;19390068;Computational & Graphical Statistics;CC BY, CC BY-NC or CC BY-NC-ND;$3.460;£2.330;€ 2.890
WIREs Data Mining and Knowledge Discovery;19424795;Data Mining & Knowledge Discovery;CC BY, CC BY-NC or CC BY-NC-ND;$4.480;£3.000;€ 3.750
WIREs Energy and Environment;2041840X;Energy & Environmental Impact;CC BY, CC BY-NC or CC BY-NC-ND;$3.950;£2.590;€ 3.300
WIREs Forensic Science;25739468;Forensic Science;CC BY, CC BY-NC or CC BY-NC-ND;$3.460;£2.330;€ 2.890
WIREs Mechanisms of Disease;26929368;Physiology;CC BY, CC BY-NC or CC BY-NC-ND;$4.650;£3.170;€ 3.850
WIREs Nanomedicine and Nanobiotechnology;19390041;Nanobiotechnology;CC BY, CC BY-NC or CC BY-NC-ND;$4.730;£3.140;€ 3.960
WIREs RNA;17577012;Biochemistry;CC BY, CC BY-NC or CC BY-NC-ND;$4.780;£3.190;€ 3.980
WIREs Water;20491948;General & Introductory Earth Sciences;CC BY, CC BY-NC or CC BY-NC-ND;$4.200;£2.780;€ 3.520
World Affairs;19401582;Current Affairs;CC BY;$2.800;£2.060;€ 2.430
World Englishes;1467971X;Modern & World English;CC BY, CC BY-NC or CC BY-NC-ND;$3.570;£2.380;€ 2.940
World Food Policy;23728639;Public Policy & Administration;CC BY, CC BY-NC or CC BY-NC-ND;$3.140;£2.110;€ 2.630
World Journal of Surgery;14322323;Surgery & Surgical Specialties;CC BY;$4.000;£3.050;€ 3.400
World Medical & Health Policy;19484682;Public Policy & Administration;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.450
World Water Policy;2639541X;Public Policy & Administration;CC BY, CC BY-NC or CC BY-NC-ND;$3.140;£2.110;€ 2.630
Worldviews on Evidence-Based Nursing;17416787;Evidence-based Practice;CC BY, CC BY-NC or CC BY-NC-ND;$3.640;£1.880;€ 2.730
Wound Repair and Regeneration;1524475X;Dermatology;CC BY, CC BY-NC or CC BY-NC-ND;$3.750;£2.500;€ 3.120
Xenotransplantation;13993089;Transplantation;CC BY, CC BY-NC or CC BY-NC-ND;$4.550;£3.020;€ 3.810
X-Ray Spectrometry;10974539;Spectroscopy;CC BY, CC BY-NC or CC BY-NC-ND;$3.250;£2.180;€ 2.720
Yeast;10970061;Microbiology & Virology;CC BY, CC BY-NC or CC BY-NC-ND;$3.980;£2.640;€ 3.310
ZAMM - Journal of Applied Mathematics and Mechanics;15214001;General & Introductory Mathematics;CC BY, CC BY-NC or CC BY-NC-ND;$3.460;£2.330;€ 2.890
Zeitschrift für anorganische und allgemeine Chemie;15213749;Inorganic Chemistry;CC BY, CC BY-NC or CC BY-NC-ND;$3.960;£2.620;€ 3.290
Zoo Biology;10982361;Animal Science & Zoology;CC BY, CC BY-NC or CC BY-NC-ND;$3.920;£2.620;€ 3.240
Zoologica Scripta;14636409;Evolution;CC BY, CC BY-NC or CC BY-NC-ND;$4.100;£2.720;€ 3.400
Zoonoses and Public Health;18632378;Microbiology & Virology;CC BY, CC BY-NC or CC BY-NC-ND;$4.880;£3.240;€ 4.030
;;;;;;
;;;;;;
;;;* = CC BY is offered for funder mandated authors only.;;;
